plate_no,rolling_date,scale,spec_long,spec_country,steel_kind,pt_thick,pt_width,pt_length,hsb,fur_no,fur_input_row,fur_heat_temp,fur_heat_time,fur_soak_temp,fur_soak_time,fur_total_time,fur_ex_temp,rolling_method,rolling_temp,descaling_count,work_group
PLT_1001,03JAN2023:07:07:53,양품,AB/EH32-TM,미국,T,32,3700,15100,적용,1호기,1열,1144,116,1133,59,259,1133,TMCP(온도제어),934,8,1조
PLT_1002,03JAN2023:07:21:22,양품,AB/EH32-TM,미국,T,32,3700,15100,적용,1호기,2열,1144,122,1135,53,238,1135,TMCP(온도제어),937,8,1조
PLT_1003,03JAN2023:07:31:15,양품,NV-E36-TM,영국,T,33,3600,19200,적용,2호기,1열,1129,116,1121,55,258,1121,TMCP(온도제어),889,8,1조
PLT_1004,03JAN2023:07:41:01,양품,NV-E36-TM,영국,T,33,3600,19200,적용,2호기,2열,1152,125,1127,68,266,1127,TMCP(온도제어),885,8,1조
PLT_1005,03JAN2023:07:52:40,양품,BV-EH36-TM,프랑스,T,38,3100,13300,적용,3호기,1열,1140,134,1128,48,246,1128,TMCP(온도제어),873,8,1조
PLT_1006,03JAN2023:08:01:55,양품,BV-EH36-TM,프랑스,T,38,3100,13300,적용,3호기,2열,1143,127,1128,57,255,1128,TMCP(온도제어),874,8,1조
PLT_1007,03JAN2023:08:14:02,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,1호기,1열,1138,126,1130,50,278,1130,TMCP(온도제어),878,8,1조
PLT_1008,03JAN2023:08:24:12,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,1호기,2열,1139,126,1131,52,272,1131,TMCP(온도제어),870,8,1조
PLT_1009,03JAN2023:08:38:23,양품,BV-EH36-TM,프랑스,T,38,3100,16700,적용,2호기,1열,1127,126,1122,52,241,1122,TMCP(온도제어),873,8,1조
PLT_1010,03JAN2023:08:45:58,불량,AB/EH36-TM,미국,T,38,3100,16200,적용,2호기,2열,1135,119,1124,73,290,1124,TMCP(온도제어),881,7,1조
PLT_1011,03JAN2023:08:54:07,양품,COMMON,공통,T,38,3100,16200,적용,2호기,2열,1135,119,1124,73,261,1124,CR(제어압연),881,8,1조
PLT_1012,03JAN2023:09:02:30,양품,AB/EH36-TM,미국,T,38,3100,16200,적용,3호기,1열,1127,134,1123,58,252,1123,TMCP(온도제어),869,8,1조
PLT_1013,03JAN2023:09:17:03,양품,COMMON,공통,T,38,3100,16200,적용,3호기,1열,1127,134,1123,58,259,1123,CR(제어압연),869,8,1조
PLT_1014,03JAN2023:09:27:31,양품,AB/EH36-TM,미국,T,38,3100,16200,적용,1호기,1열,1132,125,1127,62,280,1127,TMCP(온도제어),820,8,1조
PLT_1015,03JAN2023:09:33:17,양품,COMMON,공통,T,38,3100,16200,적용,1호기,1열,1132,125,1127,62,286,1127,CR(제어압연),820,8,1조
PLT_1016,03JAN2023:09:42:31,불량,COMMON,공통,T,38,3100,16200,적용,3호기,2열,1131,120,1125,68,259,1125,CR(제어압연),1057,8,1조
PLT_1017,03JAN2023:09:49:25,양품,BV-AH32-TM,프랑스,T,30,1900,34800,적용,1호기,2열,1119,130,1120,65,289,1120,TMCP(온도제어),926,8,1조
PLT_1018,03JAN2023:10:00:51,양품,COMMON,공통,T,30,1900,34800,적용,1호기,2열,1119,130,1120,65,282,1120,CR(제어압연),926,8,1조
PLT_1019,03JAN2023:10:11:31,양품,COMMON,공통,T,34,2200,30500,적용,2호기,1열,1119,126,1119,72,263,1119,CR(제어압연),931,8,1조
PLT_1020,03JAN2023:10:24:33,양품,GL-E32-TM,독일,T,34,2200,30500,적용,2호기,1열,1119,126,1119,72,254,1119,TMCP(온도제어),931,8,1조
PLT_1021,03JAN2023:10:39:28,불량,GL-E32-TM,독일,T,50,2200,21800,적용,3호기,1열,1127,127,1123,71,286,1123,TMCP(온도제어),929,5,1조
PLT_1022,03JAN2023:10:50:03,양품,GL-E32-TM,독일,T,50,2200,21800,적용,2호기,2열,1134,127,1124,92,293,1124,TMCP(온도제어),929,6,1조
PLT_1023,03JAN2023:11:04:09,양품,GL-E32-TM,독일,T,50,2200,21800,적용,3호기,2열,1124,117,1124,87,289,1124,TMCP(온도제어),929,6,1조
PLT_1024,03JAN2023:11:15:19,양품,GL-E32-TM,독일,T,50,2200,21800,적용,1호기,1열,1129,122,1125,78,302,1125,TMCP(온도제어),925,6,1조
